======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Wed Jan 15 02:10:01 CST 2020

|Server|SSL Level|SSH Level|
|phlytaprvio171|1.0.2o|7.5p1|
|pocafasv01|1.0.2o|7.5p1|
|pocafasv02|1.0.2o|7.5p1|
|pocafasv03|1.0.2o|7.5p1|
|pocafasv04|1.0.2o|7.5p1|
|pocafasv05|1.0.2o|7.5p1|
|pocafasv06|1.0.2o|7.5p1|
|pocafasv07|1.0.2o|7.5p1|
|pocafasv08|1.0.2o|7.5p1|
|pocpuresv01|1.0.2o|7.5p1|
|qaap3p01|1.0.2o|7.5p1|
|qaerap01h|1.0.2o|7.5p1|
|qaerdb01|1.0.2o|7.5p1|
|qamesd01|1.0.2o|7.5p1|
|qamesd02|1.0.2o|7.5p1|
|qeerap01h|1.0.2o|7.5p1|
|qehrap01|1.0.2o|7.5p1|
|qehrdb01|1.0.2o|7.5p1|
|qgaidb01|1.0.2o|7.5p1|
|qgbcdb01|1.0.2o|7.5p1|
|qggpap01h|1.0.2o|7.5p1|
|qggpdb01|1.0.2o|7.5p1|
|qggtdb01|1.0.2o|7.5p1|
|qggwdb01|1.0.2o|7.5p1|
|qgimdb01|1.0.2o|7.5p1|
|qgjbdb01|1.0.2o|7.5p1|
|qgpwap01|1.0.2o|7.5p1|
|qgrmdb01|1.0.2o|7.5p1|
|qgscdb01|1.0.2o|7.5p1|
|qgsnap01|1.0.2o|7.5p1|
|qgsndb01|1.0.2o|7.5p1|
|qgsoap01h|1.0.2o|7.5p1|
|qgsoap02h|1.0.2o|7.5p1|
|qgsodb01|1.0.2o|7.5p1|
|qgsodb02|1.0.2o|7.5p1|
|relay1|1.0.2o|7.5p1|
|relay2|1.0.2o|7.5p1|
|saerdb01|1.0.2o|7.5p1|
|safoap01|1.0.2o|7.5p1|
|salnxsv01|1.0.2o|7.5p1|
|salnxsv02|1.0.2o|7.5p1|
|salnxsv03|1.0.2o|7.5p1|
|salnxsv04|1.0.2o|7.5p1|
|salnxsv05|1.0.2o|7.5p1|
|sehrdb01|1.0.2o|7.5p1|
|sggpdb01|1.0.2o|7.5p1|
|sggtdb01|1.0.2o|7.5p1|
|sgimdb01|1.0.2o|7.5p1|
|sgscdb01|1.0.2o|7.5p1|
|taede055|1.0.2o|7.5p1|
|taede651|1.0.2o|7.5p1|
|taede652|1.0.2o|7.5p1|
|taestr006|1.0.2o|7.5p1|
|taglk055|1.0.2o|7.5p1|
|taglk057|1.0.2o|7.5p1|
|taglknim1|1.0.2o|7.5p1|
|taglkvio1|1.0.2o|7.5p1|
|taglkvio2|1.0.2o|7.5p1|
|taitc058|1.0.2o|7.5p1|
|taitc102|1.0.2o|7.5p1|
|taitc103|1.0.2o|7.5p1|
|taitc111|1.0.2o|7.5p1|
|taitc118|1.0.2o|7.5p1|
|taitc121|1.0.2o|7.5p1|
|taitc122|1.0.2o|7.5p1|
