====== Unix Operating System Level, Disk Use, and Application by Model ======

Prepared on Mon Jun 22 01:00:00 CDT 2015 Total Unix Servers => 210


<html>
<head>
<script type=text/javascript src=https://www.google.com/jsapi></script>
<script type=text/javascript>
google.load('visualization', '1.0', {'packages':['corechart']});
google.setOnLoadCallback(drawChart);
function drawChart() {
var data = new google.visualization.DataTable();
data.addColumn('string', 'Usage');
data.addColumn('number', 'Terabytes');
data.addRows([
['AIX 5.3 Unsupported', 7],
['AIX 6.1 Supported', 24],
['AIX 7.1 Supported', 124],
['HPUX', 2],
['RedHat 5', 1],
['RedHat 6', 14],
['SuSE', 1],
['VIOS Supported', 37],
['Solaris', 0],
['Other Unix', 1]
]);
var options = {'title':'OS Levels',
'width':800,
'height':600,
colors:['#FF0000', '#33FF99', '#33CC33', '#6600FF', '#3333FF', '#3366FF', '#33FFFF', '#669933', '#FFFF33', '#FF00CC']};
var chart = new google.visualization.PieChart(document.getElementById('chart_div'));
chart.draw(data, options);
}
</script>
</head>
<body>
<!--Div that will hold the pie chart-->
<div id=chart_div></div>
</body>
</html>

^Server Name^OS^Operating System Level^Netbios/Firmware ^Allocated^Free^Used^% Free^Model^Serial/Part Number^Type^MHz^# Proc^Memory^OV Rel^Function^App^Description^Location^HMC^Public IP^Mac Address^Private IP^Fibre WWN^
|paerap05|AIX|7100-03-04-1441|EA350_136|59|42|16|72%| IBM,7998-61X|0692B3A| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|Production|SAP PTA |PTA ERP App Server#5 |Lincolnshire|No HMC|10.0.48.21|0.1a.64.47.ed.b0| N/A|fcs2>2100001B3292E9DE fcs3>2101001B32B2E9DE fcs0>2100001B3297382E fcs1>2101001B32B7382E |
|paerap06|AIX|7100-03-04-1441|EA350_136|56|42|14|74%| IBM,7998-61X|0692B4A| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|Production|SAP PTA |PTA ERP App Server#6|Lincolnshire|No HMC|10.0.48.22|0.1a.64.47.ec.b4| N/A|fcs2>2100001B3297760F fcs3>2101001B32B7760F fcs0>2100001B329069A0 fcs1>2101001B32B069A0 |
|taprvio3|VIOS|2.2.3.4|EA350_149|44|34|9|78%| IBM,7998-61X|100AACA| PowerPC_POWER6| 4005 MHz|4| 4096 MB|11.14.014|IBM/VIOS|VIOS|VIO UNIX Infrastructure Server|Lincolnshire|No HMC|10.0.4.136|0.1a.64.44.9c.ce| N/A|fcs2>2100001B32074001 fcs3>2101001B32274001 fcs0>2100001B3206855F fcs1>2101001B3226855F |
|paerap07|AIX|7100-03-04-1441|EA350_149|71|53|18|74%| IBM,7998-61X|100AADA| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|Production|SAP PTA TA-Direct|PTA ERP App Server#7 TA-Direct Interface to PTA|Lincolnshire| tgprhmc2 taitc051|10.0.48.44|0.1a.64.44.a1.72| N/A|fcs2>2100001B32079C4F fcs3>2101001B32279C4F fcs0>2100001B32052BE6 fcs1>2101001B32252BE6 |
|taede651|AIX|7100-03-04-1441|AL730_095|704|301|402|42%| IBM,8202-E4B|065BA0P| PowerPC_POWER7| 3000 MHz|4| 31744 MB|11.05.005|Production|Oracle, PMES|MES Primary Oracle DB Server Edenkoben|Edenkoben| taede058|10.58.21.151|e4.1f.13.4f.0.24| N/A|fcs2>10000000C9D0CCB8 fcs3>10000000C9D0CCB9 fcs0>10000000C9D0C780 fcs1>10000000C9D0C781 |
|taede652|AIX|7100-03-04-1441|AL730_095|694|309|384|44%| IBM,8202-E4B|065BA7P| PowerPC_POWER7| 3000 MHz|4| 31744 MB|11.05.005|Production|Oracle, PMES|MES Standby Oracle DB Server Edenkoben|Edenkoben| taede058|10.58.21.152|e4.1f.13.4f.0.a0| N/A|fcs2>10000000C9A275E6 fcs3>10000000C9A275E7 fcs0>10000000C9A25DFA fcs1>10000000C9A25DFB |
|pehrap98|AIX|7100-02-02-1316|AL740_100|57|48|8|85%| IBM,8202-E4C|101260T| PowerPC_POWER7| 3024 MHz|2| 20480 MB|N/A|Production|SAP Global HR Application Server H1P,Connect Direct|SAP Global HR Application Server H1P-Standby Central Instance(Active/Pasive Cluster with pehrap99) |Interexion| tgprhmc3 tgprhmc4|10.56.1.110|3e.18.eb.63.c9.2| N/A|fcs0>C0507606104E00C0 fcs1>C0507606104E00C2 fcs2>C0507606104E00C4 fcs3>C0507606104E00C6 |
|penmsv01|AIX|7100-02-02-1316|AL740_100|361|102|258|28%| IBM,8202-E4C|101260T| PowerPC_POWER7| 3024 MHz|2| 4096 MB|11.05.005|Production|NIM - Network Instalation Manager|Interxion NIM Server-Infrastructure UNIX|Interxion| tgprhmc3 tgprhmc4|10.56.1.105|3e.18.ea.dc.1.2| N/A|fcs0>C0507606104E00B0 fcs1>C0507606104E00B2 fcs2>C0507606104E00B4 fcs3>C0507606104E00B6 |
|pgsmdb01|AIX|7100-03-02-1412|AL740_100|539|207|332|38%| IBM,8202-E4C|101260T| PowerPC_POWER7| 3024 MHz|4| 16384 MB|11.05.005|Production|SAP Solution Manager for EU - SME|SAP EU Solution Manager|Interxion| tgprhmc3 tgprhmc4|10.56.1.12|3e.18.ea.8f.f4.2| N/A|fcs0>C0507606104E00BC fcs1>C0507606104E00BE fcs2>C0507606104E00B8 fcs3>C0507606104E00BA |
|dehrdb99|AIX|7100-02-02-1316|AL740_100|1390|380|1010|27%| IBM,8202-E4C|101260T| PowerPC_POWER7| 3024 MHz|4| 20480 MB|11.05.005|Development|Global HR SAP H1D Oracle DB Server|Global HR SAP H1D Primary Oracle DB Server, Dataguard replication to dehrdb98,Dev env for H1P|Interexion| tgprhmc3 tgprhmc4|10.56.1.113|3e.18.ea.70.5a.2| N/A|fcs0>C0507606104E0042 fcs1>C0507606104E0044 fcs2>C0507606104E0040 fcs3>C0507606104E0046 |
