======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Mon Aug 21 02:13:57 CDT 2023

|Server|SSL Level|SSH Level|
|pcdcplpaxdb01|1.0.2u|8.1p1|
|pcdcprmaxdb01|1.0.2u|8.1p1|
|pcdcps1axdb01|1.0.2u|8.1p1|
|pcdcps2axdb01|1.0.2u|8.1p1|
|pcdcpscaxdb01|1.0.2u|8.1p1|
|pcdcpsnaxap01|1.0.2u|8.1p1|
|pcdcpsnaxap02|1.0.2u|8.1p1|
|pcdcpsnaxap03|1.0.2u|8.1p1|
|pcdcpsnaxdb01|1.0.2u|8.1p1|
|pcdcpsraxdb01|1.0.2u|8.1p1|
|pcdcptaaxap98|1.0.2u|8.1p1|
|pcdcptaaxap99|1.0.2u|8.1p1|
|pcdcptaaxdb98|1.0.2u|8.1p1|
|pcdcptaaxdb99|1.0.2u|8.1p1|
|pcdcptaaxfs01|1.0.2u|8.1p1|
|pcdcsapaxrs01|1.0.2u|8.1p1|
|pcdcsspaxdb01|to||
|pcdcta2axap98|1.0.2u|8.1p1|
|pcdcta2axap99|1.0.2u|8.1p1|
|pcdcta2axdb98|1.0.2u|8.1p1|
|pcdcta2axdb99|1.0.2u|8.1p1|
|pcdcunxaxap01|Could||
|phlycdcvilax020|not||
|phlycdcvilax025|not||
|phlycdcvilax027|not||
|phlycdcvilax055|not||
|phlycdcvilax109|not||
|phlycdcvilax113|not||
|phlycdcvilax118|not||
|phlycdcvilax120|not||
|phlypaax158|not||
|phlypaax219|not||
|phlypaax241|to||
|phlypaax38|not||
|phlypaax89_old|not||
|phlypapv001|||
|@|HOST||
|@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|||
|IT|THAT||
|Someone|eavesdropping||
|It|possible||
|The|the||
|SHA256:5JuX1pCb6pJWTLHPYJWl8wmoleQh5OW29uRuUAH3AbQ.|||
|Please|system||
|Add|key||
|Offending|in||
|Password|disabled||
|Keyboard-interactive|disabled||
|OpenSSH_8.1p1,|20||
|phlypapv002|||
|@|HOST||
|@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|||
|IT|THAT||
|Someone|eavesdropping||
|It|possible||
|The|the||
|SHA256:5JuX1pCb6pJWTLHPYJWl8wmoleQh5OW29uRuUAH3AbQ.|||
|Please|system||
|Add|key||
|Offending|in||
|Password|disabled||
|Keyboard-interactive|disabled||
|OpenSSH_8.1p1,|20||
|phlypapv003|||
|@|HOST||
|@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|||
|IT|THAT||
|Someone|eavesdropping||
|It|possible||
|The|the||
