======                            IBM AIX Editions 
       ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE
 NOW** ======

Date of this report  Thu Sep  9 18:18:58 CDT 2021

|Server|AIX Edition Level|OS Level|
|pcdchypaxdb01|standard|7200-00-01-1543|
|pcdcmanaxdb01||5300-12-09-1341|
|pcdcmngaxdb01||7100-05-07-2038|
|pcdcna3axap01|standard|7100-05-05-1939|
|pcdcpaiaxdb01|express|7100-05-05-1939|
|pcdcpasaxdb01|express|7100-05-05-1939|
|pcdcpepaxdb01|express||
|pcdcpgtaxdb01|express|7100-05-05-1939|
|pcdcpgwaxdb01|express|7100-05-05-1939|
|pcdcpimaxdb01|express|7100-05-05-1939|
|pcdcpjbaxdb01|express|7100-05-05-1939|
|pcdcplpaxdb01|standard|7100-05-05-1939|
|pcdcprmaxdb01|express|7100-05-05-1939|
|pcdcps1axdb01|express|7100-05-05-1939|
|pcdcps2axdb01|express|7100-05-05-1939|
|pcdcpscaxdb01|express|7100-05-05-1939|
|pcdcpsnaxap01|express|7100-05-05-1939|
|pcdcpsnaxap02|express|7100-05-05-1939|
|pcdcpsnaxap03|express|7100-05-05-1939|
|pcdcpsnaxdb01|express|7100-05-05-1939|
|pcdcpsraxdb01||7100-05-05-1939|
|pcdcptaaxap98|express|7100-05-05-1939|
|pcdcptaaxap99|express|7100-05-05-1939|
|pcdcptaaxdb98|express|7100-05-05-1939|
|pcdcptaaxdb99|express|7100-05-05-1939|
|pcdcptaaxfs01|express|7100-05-05-1939|
|pcdcsapaxrs01||7100-05-05-1939|
|pcdcsspaxdb01||7100-05-05-1939|
|pcdcta2axap98|express|7100-05-05-1939|
|pcdcta2axap99|express|7100-05-05-1939|
|pcdcta2axdb98|express|7100-05-05-1939|
|pcdcta2axdb99|express|7100-05-05-1939|
|pcdcunxaxap01|standard|7200-04-02-2028|
|phlypapv023|||
|phlypapv024|||
|qcdcbcpaxdb01|express|7100-05-05-1939|
|qcdcccsaxdb01|standard|6100-09-05-1524|
|qcdceu3axap01||7100-05-05-1939|
|qcdcftaaxdb01|standard|7100-05-05-1939|
|qcdch1taxap01||7100-05-07-2038|
|qcdch1taxdb01||7100-05-07-2038|
|qcdcit0axdb01|standard|7100-05-05-1939|
|qcdcna3axap01||7100-05-05-1939|
|qcdcodbaxdb01||7100-05-05-1939|
|qcdcpltaxdb01|standard|7100-05-05-1939|
|qcdcqaiaxdb01|express|7100-05-05-1939|
|qcdcqepaxdb01|express|7100-05-02-1810|
|qcdcqgtaxdb01||7100-05-05-1939|
|qcdcqgwaxdb01|express|7100-05-05-1939|
|qcdcqimaxdb01|express|7100-05-07-2038|
|qcdcqjbaxdb01|express|7100-05-05-1939|
|qcdcqrmaxdb01|express|7100-05-05-1939|
|qcdcqs1axdb01|express|7100-05-05-1939|
|qcdcqscaxdb01|express|7100-05-05-1939|
|qcdcqsnaxap01|express|7100-05-05-1939|
|qcdcqsnaxdb01|express|7100-05-05-1939|
|qcdcqsraxdb01||7100-05-05-1939|
|qcdcssqaxdb01|express|7100-05-05-1939|
|scdcplsaxdb01|standard|7100-05-05-1939|
|scdcpocaxsv01|express|7100-05-05-1939|
|scdcpocaxsv02|standard|7100-05-05-1939|
|scdcpocaxsv03||7100-05-05-1939|
|scdcpocaxsv04|||
|scdcstaaxdb01|standard|7100-05-05-1939|
|sfldmiax11|express|6100-09-07-1614|
|sfldmiax112|express|7100-05-07-2038|
|sfldmiax113|express|6100-09-07-1614|
|sfldmiax121|||
|sfldmiax123|||
|sfldmiax125|enterprise|7100-05-07-2038|
|sfldmiax126|express|7100-05-05-1937|
|sfldmiax130|express|7100-05-05-1939|
|sfldmiax132|express|7100-05-05-1939|
|sfldmiax133|express|7100-05-05-1939|
|sfldmiax140|standard|7200-05-01-2038|
|sfldmiax153|express|6100-09-07-1614|
|sfldmiax154|express|6100-09-07-1614|
|sfldmiax157|standard|7200-05-01-2038|
|sfldmiax158|standard|7200-05-01-2038|
|sfldmiax160|standard|7200-05-01-2038|
|sfldmiax170|standard|7200-05-01-2038|
|sfldmiax173|standard|7200-05-01-2038|
|sfldmiax241|standard|7200-05-01-2038|
|sfldmiax258|enterprise|7200-04-01-1939|
|sfldmiax259|standard|7200-04-01-1939|
|sfldmiax261|standard|7200-05-01-2038|
|sfldmiax263|standard|7200-05-01-2038|
|sfldmiax264|standard|7200-05-01-2038|
|sfldmiax265|standard|7200-05-01-2038|
|sfldmiax271|standard|7200-05-01-2038|
|sfldmiax276|express|7100-04-01-1543|
|sfldmiax277|express|7100-04-01-1543|
|sfldmiax278|express|7100-04-01-1543|
|sfldmiax279|express|7100-04-01-1543|
|sfldmiax281|express|7100-04-01-1543|
|sfldmiax282|express|7100-04-01-1543|
|sfldmiax285|standard|7200-04-02-2028|
|sfldmiax36||6100-09-07-1614|
|sfldmiax37|standard|7200-05-01-2038|
|sfldmiax44|standard|7200-05-01-2038|
|sfldmiax57|express|7100-05-07-2038|
|sfldmiax90|standard|6100-09-07-1614|
|sfldrs04|standard|7200-04-01-1939|
|sfldrs05|standard|7200-04-01-1939|
|taestr006|standard|7100-05-07-2038|
