====== PT Storage Team Equipment's Inventory ======

^Country^Location    ^Site ID ^Device   Type^Make   ^Model        ^Firmware       ^Firmware Version^S/N            ^Hostname / Console               ^IP             ^Admin Account^Local Contact                                                           ^Install Date^Support Provider^Notes                                    ^
|Poland|Stanowice  |STN     |Storage array|PURE   |Pure x20     |Purity         |5.3.11          |60018          |http://10.60.32.30                 |10.60.32.30     |pureuser     |Jakub / Michal                                             |10/19/16    |PURE            |                                         |
|Poland|Stanowice  |STN     |FC switch    |EMC    |DS5300B      |Fabric OS      |7.4.1d          |BRCAHX1924F00T |stnds5300a                       |10.56.0.203    |admin        |Kim Jacobs / Tom Tollenaere                                             |08/28/10    |EMC             |                                         |
|Poland|Stanowice  |STN     |FC switch    |EMC    |DS5300B      |Fabric OS      |7.4.1d          |BRCAHX0617F03L |stnds5300b                       |10.56.0.204    |admin        |Kim Jacobs / Tom Tollenaere                                             |08/28/10    |EMC             |                                         |
|Germany|Edenkoben   |5452788 |Storage array|EMC    |VNX5400      |FLARE          |05.33.009.5.218 |CKM00153301551 |http://edevnx5400cs0             |10.58.72.31    |sysadmin     |Horst Adler /Rene Buettner/ Patrick Madloch                             |09/21/15    |EMC             |  Use 10.58.72.34, 10.58.72.35 |
|Germany|Edenkoben   |5452788 |FC switch    |EMC    |DS6510       |Fabric OS      |7.4.1f          |BRCBRW1910K048 |ededs6510a1                      |10.58.72.36    |admin        |Horst Adler /Rene Buettner/ Patrick Madloch                             |09/21/15    |EMC             |                                         |
|Germany|Edenkoben   |5452788 |FC switch    |EMC    |DS6510       |Fabric OS      |7.4.1f          |BRCBRW1943K00M |ededs6510b1                      |10.58.72.37    |admin        |Horst Adler /Rene Buettner/ Patrick Madloch                             |09/21/15    |EMC             |                                         |
|USA    |Seward      |        |Storage array|PURE   |Pure M20     |Purity         |5.3.11          |520030         |http://sewpm20v1                 |10.34.146.232  |pureuser     |Dave Luong / Norman Porter                                              |03/09/17    |PURE            |                                         |
|USA    |Seward      |        |FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |ALJ0652E004    |sewds300a                        |10.34.146.38   |tenneco      |Dave Luong / Norman Porter                                              |07/07/10    |EMC             |Brocade - contract no: 27762978          |
|USA    |Seward      |        |FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |ALJ0652E008    |sewds300b                        |10.34.146.39   |tenneco      |Dave Luong / Norman Porter                                              |07/07/10    |EMC             |Brocade - contract no: 27762978          |
|USA    |Grass Lake  |29897741|Storage array|EMC    |VNX5400      |FLARE          |05.33.009.5.218 |APM00143204078 |http://glkvnx5400cs0             |10.34.70.52    |sysadmin     |Terral Artis / Dallas Maddox                                            |11/18/14    |EMC             |  Use 10.34.70.54 and 10.34.70.55                                        |
|USA    |Grass Lake  |29897741|FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |BRCALJ2549J0SS |glkds300a1                       |10.34.70.6     |admin        |Terral Artis / Dallas Maddox                                            |11/18/14    |EMC             |                                         |
|USA    |Grass Lake  |29897741|FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |BRCALJ2531J0PM |glkds300b1                       |10.34.70.7     |admin        |Terral Artis / Dallas Maddox                                            |11/18/14    |EMC             |                                         |
|Poland |Rybnik      |28095548|Storage array|EMC    |VNX5400      |FLARE          |05.33.009.5.231 |CKM00143401481 |http://rybvnx5400cs              |10.62.16.180   |sysadmin     |Damian Gamon/Jakub Kurowski/Michal Magiera                              |12/25/14    |EMC             |Use 10.62.16.183 and 10.62.16.184                             |
|Poland |Rybnik      |28095548|FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |BRCALJ1936K0BN |rybds300a                        |10.62.16.191   |admin        |Damian Gamon/Jakub Kurowski/Michal Magiera                              |12/25/14    |EMC             |                                         |
|Poland |Rybnik      |28095548|FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |BRCALJ1936K0BL |rybds300b                        |10.62.16.192   |admin        |Damian Gamon/Jakub Kurowski/Michal Magiera                              |12/25/14    |EMC             |                                         |
|Poland |DRiV-Gliwice     |13780461|Storage array|EMC    |VNX5400      |FLARE          |05.33.009.5.231 |CKM00153902216 |http://glwvnx5400cs0             |10.60.208.41   |sysadmin     |Pawel Tkaczyk/Pawel Walkowski/Arkadiusz Wycislo                         |02/22/16    |EMC             | Use 10.60.208.44 and 10.60.208.45                                        |
|Poland |DRiV-Gliwice     |13780461|FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |BRCALJ1935L008 |glwds300a1                       |10.60.208.38   |admin        |Pawel Tkaczyk/Pawel Walkowski/Arkadiusz Wycislo                         |02/22/16    |EMC             |                                         |
|Poland |DRiV-Gliwice     |13780461|FC switch    |EMC    |DS300B       |Fabric OS      |7.4.1f          |BRCALJ1928L0CG |glwds300b1                       |10.60.208.39   |admin        |Pawel Tkaczyk/Pawel Walkowski/Arkadiusz Wycislo                         |02/22/16    |EMC             |                                         |
|Thailand|Ayutthaya|          |Storage array|Dell EMC | SCv3020    |SCOS          |7.3.11.28       |268754         |AYTTTHSN001 |10.217.144.151  | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
|Germany |Dresden  |          |Storage array|Dell EMC | SCv4000    |SCOS          |7.2.11.4        |84858           |DRDNDESN001 |10.2.222.20    | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
|Poland  |Gdansk|            |Storage array|Dell EMC | SCv3020    |SCOS          |7.3.11.28       |299966         |GDANPLSN001    | 10.2.44.20    | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
|Poland  |Gorzyce|          |Storage array|Dell EMC | SCv5020    |SCOS          |7.2.30.21       |351848          |GORZPLSN001 |10.1.96.60    | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
|Nuremberg|Germany|          |Storage array|Dell EMC | SCv5020    |SCOS          |7.4.2.103       |370814         |nbrgdesn001 |10.5.125.10  | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
|Wiesbaden|Germany|          |Storage array|Dell EMC | SCv3020    |SCOS          |7.3.11.28       |285320         |wsbndesn001 |10.13.125.10  | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
|Qingdao Dongsuh|China|          |Storage array|Dell EMC | SCv5020    |SCOS          |7.3.20.19       |354002         |QNDACNSN001 |10.216.129.96  | ???        | Nathan Leeds/ Roger Haynes                                             | ??? | Dell  | |
