^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|22 | dahrdb01  |CTB/NA HR Development  DB Server-to be dcommed after Global HR migration  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |ETS-9179-MHB-SN06E6B85  |OLD NA HR Oracle DB Server CTB  |  |Tim Smith,Margaret Hyatt,Pud Hupkins,Shane Richter,TAITIOSSAPBasis,DBA| 
|23 | deerdb99  |C11 Primary C11 Oracle DB Server (Dataguard replication to deerdb98,Dev env for TA2)  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |C11 Oracle DB   |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|24 | qahrdb01  |SAP QTB HR/NA DB Server - Read Only   |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |NA HR Oracle DB Server QTB  |  || 
|25 | taqa1d01  |NA Backup Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |NA-Netbackup, Media server and amster DB server  |  | Pawel Tkaczyk,John McLean,James Fort| 
|26 | dgscdb01  |EWM SAP Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |ETS-9179-MHB-SN06E6B85  |SAP EWM, Oracle DB Server  |  | Jake Donbrowski,GIOS SAP BASIS| 
|27 | qgscdb01  |EWM SAP Oracle DB Server,Central Instance, Application Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |EWM SAP Oracle DB Server QSC, Central Instance, Application Server  |  |Jake Donbrowski| 
|28 | deerap99  |C11 CI App Server-Primary (Active/Pasive Cluster with deerap98,Dev env for TA2)  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |SAP C11 Central Instance  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|29 | tspr1d01  |SAP SRM DB Server, TITAN  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |SAP SRM PSR, TITAN  |  || 
|30 | pafoap01  |Oracle Forms App Server#1 working in tandem with pafoap02   |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |Oracle FORMS  |  |Raj Shanmugam, Joe Hall| 
|31 | pafodb01  |Oracle Forms Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |Oracle Forms, Oracle DB Serever  |  |Raj Shanmugam, Joe Hall| 
|32 | tsqa1d01  |SRM DB Server, Titan  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-GTS-QA-9131-52A-SN065A1AG  |SAP SRM QSR, Oracle DB Server,Titan  |  || 
|33 | dafodb01  |Development Oracle Forms DB Server  |taitc118  |  |  |Lincolnshire  |  |yes  |IBM powervm  |  |Oracle Forms DB Server DFOR  |  | Raj Shanmugan,Moon Do,Zigor Arosa | 
|34 | peardb01  |TA2-FileNet Archiving Server Production  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |TA2 Archiving, Filenet  |  | GIOS SAP BASIS Group| 
|35 | itcap001  |Manugistics Prod Oracle DB/App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |Manugistics  |  |Tim Schmusker, Dave Curns| 
|36 | taprvio30  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |VIOS30  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
